acl 2.2.52-4
acpi 1.7-2
acpi_call 1.1.0-71
adwaita-icon-theme 3.24.0-1
alsa-lib 1.1.4.1-1
alsa-utils 1.1.4-1
arc-gtk-theme 20170302-4
archey3 0.5-7
archlinux-keyring 20170611-1
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atk 2.24.0-2
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-1
bash 4.4.012-2
bash-completion 2.7-1
bbswitch 0.8-77
bc 1.07.1-1
binutils 2.28.0-4
bison 3.0.4-3
boost-libs 1.64.0-4
btrfs-progs 4.12-1
bumblebee 3.2.1-15
bzip2 1.0.6-6
c2hs 0.28.2-5
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.32-1
ca-certificates-utils 20170307-1
cabal-install 1.24.0.2-2
cairo 1.14.10-1
cairomm 1.12.2-2
cantarell-fonts 1:0.0.25-3
cmake 3.9.1-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-8
coreutils 8.27-1
cracklib 2.9.6-1
cryptsetup 1.7.5-1
curl 7.55.1-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.22-1
dbus-glib 0.108-1
dconf 0.26.0+1+g701d19d-1
desktop-file-utils 0.23-1
device-mapper 2.02.173-1
dhcpcd 6.11.5-1
diffutils 3.6-1
dmenu 4.7-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dosfstools 4.1-1
dropbox 33.4.23-1
e2fsprogs 1.43.5-1
efibootmgr 15-1
efivar 31-1
exo 0.11.5-1
expat 2.2.3-1
fakeroot 1.21-2
feh 2.19.2-1
ffmpeg 1:3.3.3-2
fftw 3.3.6-2
file 5.31-1
filesystem 2017.03-2
findutils 4.6.0-2
firefox 55.0.2-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.12.4-1
fontsproto 2.1.3-2
freeglut 3.0.0-1
freetype2 2.8-2
fribidi 0.19.7-1
fuse-common 3.1.1-1
fuse2 2.9.7-3
gawk 4.1.4-2
gc 7.6.0-1
gcc 7.1.1-4
gcc-libs 7.1.1-4
gcr 3.20.0+45+g4708f35-1
gdbm 1.13-1
gdk-pixbuf2 2.36.9-1
gettext 0.19.8.1-2
ghc 8.0.2-3
ghc-static 8.0.2-3
giflib 5.1.4-1
git 2.14.1-1
glew 2.1.0-1
glib-networking 2.50.0-2
glib2 2.52.3-1
glibc 2.25-7
glibmm 2.52.0-1
glu 9.0.0-4
gmp 6.1.2-1
gnupg 2.1.23-1
gnutls 3.5.14-1
gobject-introspection-runtime 1.52.1-1
gpgme 1.9.0-3
gpm 1.20.7-7
gptfdisk 1.0.3-1
graphite 1:1.3.10-1
grep 3.1-1
groff 1.22.3-7
grub 2:2.02-1
gsettings-desktop-schemas 3.24.0-1
gsm 1.0.16-1
gtk-update-icon-cache 3.22.18-2
gtk2 2.24.31-1
gtk3 3.22.18-2
gtkmm3 3.22.1-1
guile 2.2.2-1
gvfs 1.32.1+5+gf0d758df-1
gzip 1.8-2
harfbuzz 1.4.8-1
haskell-alsa-core 0.5.0.1-3
haskell-alsa-mixer 0.2.0.3-3
haskell-async 2.1.1.1-2
haskell-base16-bytestring 0.1.1.6-4
haskell-base64-bytestring 1.0.0.1-7
haskell-cryptohash-sha256 0.11.100.1-2
